brand,model,price,weight,core_thickness_mm,grip_length,rpm,shape,face_material,core_material,swing_weight,twist_weight,year
Vatic Pro,Saga v7 LH 14mm,129.99,542,5.5,14,4.125,Elongated,Raw carbon fiber,Polymer Honeycomb,117,5.63,
Vatic Pro,Prism Bloom 16mm,99.99,489,,16,,Wide body,Raw carbon fiber,Polymer Honeycomb,110,6.97,
Vatic Pro,Prism Bloom 14mm,99.99,488,,14,,Wide body,Raw carbon fiber,Polymer Honeycomb,107,6.54,
Vatic Pro,Saga Bloom 16mm,129.99,487,,16,4.125,Wide body,Raw carbon fiber,Polymer Honeycomb,111,6.96,
Vatic Pro,Saga v7 LH 16mm,129.99,461,5.5,16,4.125,Elongated,Raw carbon fiber,Polymer Honeycomb,124,6.39,
Vatic Pro,Saga v7 SH 16mm,129.99,460,5.3,16,4.125,Elongated,Raw carbon fiber,Polymer Honeycomb,119,6.58,
Vatic Pro,Saga Flash LH 16mm,129.99,459,5.5,16,4.125,Hybrid,Raw carbon fiber,Polymer Honeycomb,120,6.1,
Vatic Pro,Saga Flash SH 16mm,129.99,454,5.3,16,4.125,Hybrid,Raw carbon fiber,Polymer Honeycomb,113,6.48,
Vatic Pro,Prism Flash 16mm LH,99.99,443,5.4,16,4.25,Hybrid,Raw carbon fiber,Polymer Honeycomb,122,6.21,
Vatic Pro,Prism v7 LH,99.99,319,5.6,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,123,6.27,
Vatic Pro,Prism Flash 14mm,99.99,251,5.4,14,4.25,Hybrid,Raw carbon fiber,Polymer Honeycomb,110,6.31,
Vatic Pro,Alchemy 16mm,179.99,207,5.5,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,121,6.38,
Vatic Pro,Alchemy 13.5mm,179.99,206,5.5,13.5,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,113,6.04,
Vatic Pro,Prism Flash 16mm,99.99,199,5.4,16,4.25,Hybrid,Raw carbon fiber,Polymer Honeycomb,114,6.41,
Vatic Pro,Prism v7,99.99,198,5.4,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,128,6.74,
Vatic Pro,Flash Carbon Fiber 16mm,139.99,150,5.4,16,4.25,Hybrid,Raw carbon fiber,Polymer Honeycomb,115,6.57,
Vatic Pro,V7 Carbon Fiber 16mm,139.99,126,5.3,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,119,6.78,
Vatic Pro,Flash Carbon Fiber 14mm,139.99,128,5.4,14,4.25,Hybrid,Raw carbon fiber,Polymer Honeycomb,111,6.18,
Versix,Vector XL,129.99,428,5.75,15,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,119,6.58,
Volair,Shift HYB 14mm,189.99,671,5.6,14,4.125,Hybrid,Raw carbon fiber,EPP Foam,118.4,6.49,
